"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\Models\CommentModel.js", "JavaScript", 0, 12, 0, 3, 15
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\Models\ConversationModel.js", "JavaScript", 0, 8, 0, 3, 11
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\Models\MessageModel.js", "JavaScript", 0, 12, 0, 3, 15
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\Models\PostModel.js", "JavaScript", 0, 12, 0, 3, 15
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\Models\UserModel.js", "JavaScript", 0, 14, 0, 2, 16
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\controllers\authController.js", "JavaScript", 0, 57, 0, 5, 62
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\controllers\chatController.js", "JavaScript", 0, 90, 0, 10, 100
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\controllers\profileController.js", "JavaScript", 0, 259, 3, 16, 278
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\package-lock.json", "JSON", 4246, 0, 0, 1, 4247
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\package.json", "JSON", 31, 0, 0, 1, 32
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\routes\authRouter.js", "JavaScript", 0, 14, 0, 2, 16
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\routes\chatRouter.js", "JavaScript", 0, 9, 0, 1, 10
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\routes\profileRouter.js", "JavaScript", 0, 51, 0, 7, 58
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\routes\routes.js", "JavaScript", 0, 8, 0, 1, 9
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\start.js", "JavaScript", 0, 35, 3, 9, 47
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\utils\authChecker.js", "JavaScript", 0, 30, 1, 3, 34
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\utils\createToken.js", "JavaScript", 0, 7, 0, 1, 8
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\utils\validateParamsId.js", "JavaScript", 0, 14, 1, 2, 17
"c:\Users\duste\OneDrive\Документы\Web\Instagram-lite-copy\server\utils\validations.js", "JavaScript", 0, 18, 0, 3, 21
"Total", "-", 4277, 650, 8, 76, 5011
